[2019-05-11 21:06:02,646](INFO)werkzeug :  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
[2019-05-11 21:06:21,684](INFO)querySetMeal : 获取参数pageNo...
[2019-05-11 21:06:21,686](INFO)querySetMeal : 未获得参数pageNo ， 赋值为1
[2019-05-11 21:06:21,687](INFO)querySetMeal : 未获得参数pageSize ， 赋值为10
[2019-05-11 21:06:21,698](INFO)querySetMeal : 尝试执行sql语句select * from setmeal limit 0 , 10
[2019-05-11 21:06:21,699](INFO)querySetMeal : 执行成功,尝试抓取数据
[2019-05-11 21:06:21,699](INFO)querySetMeal : 抓取成功
[2019-05-11 21:06:21,709](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 1
[2019-05-11 21:06:21,710](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:06:21,711](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:06:21,713](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 2
[2019-05-11 21:06:21,713](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:06:21,713](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:06:21,715](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 3
[2019-05-11 21:06:21,715](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:06:21,716](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:06:21,717](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 3
[2019-05-11 21:06:21,717](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:06:21,718](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:06:21,719](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 4
[2019-05-11 21:06:21,719](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:06:21,719](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:06:21,721](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 5
[2019-05-11 21:06:21,721](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:06:21,721](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:06:21,722](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 1
[2019-05-11 21:06:21,722](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:06:21,723](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:06:21,724](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 3
[2019-05-11 21:06:21,725](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:06:21,725](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:06:21,727](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 2
[2019-05-11 21:06:21,727](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:06:21,728](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:06:21,729](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 3
[2019-05-11 21:06:21,729](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:06:21,730](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:06:21,731](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 2
[2019-05-11 21:06:21,731](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:06:21,731](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:06:21,732](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 1
[2019-05-11 21:06:21,733](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:06:21,733](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:06:21,734](INFO)werkzeug : 127.0.0.1 - - [11/May/2019 21:06:21] "GET /querySetMeal HTTP/1.1" 200 -
[2019-05-11 21:07:38,819](INFO)werkzeug :  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
[2019-05-11 21:07:43,332](INFO)querySetMeal : 获取参数pageNo...
[2019-05-11 21:07:43,333](INFO)querySetMeal : 未获得参数pageNo ， 赋值为1
[2019-05-11 21:07:43,333](INFO)querySetMeal : 未获得参数pageSize ， 赋值为10
[2019-05-11 21:07:43,335](INFO)querySetMeal : 尝试执行sql语句select * from setmeal limit 0 , 10
[2019-05-11 21:07:43,336](INFO)querySetMeal : 执行成功,尝试抓取数据
[2019-05-11 21:07:43,336](INFO)querySetMeal : 抓取成功
[2019-05-11 21:07:43,338](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 1
[2019-05-11 21:07:43,338](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:07:43,339](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:07:43,341](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 2
[2019-05-11 21:07:43,342](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:07:43,342](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:07:43,344](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 3
[2019-05-11 21:07:43,344](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:07:43,344](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:07:43,346](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 3
